OBJECTID,REG,DISTRICT,NAME,EMU_NAME,HARVTYPE,AREA_AC,AREA_KM,AREA_MI,DEERWEBPAGE,ELKWEBPAGE,Shape__Area,Shape__Length,GlobalID,MAPLINK
2889,1,103,103,Salish,Variable,927024,3751.53433599,1448.47550516,Coming Soon,Coming Soon,8473086829.94531,474814.750456786,58b9b6b8-774f-4541-8bcf-cc09faeb9f94,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd103.pdf
2890,4,444,444,Golden Triangle,Variable,310559,1256.78855557,485.2487742,Coming Soon,Coming Soon,2758203127.30469,258407.917893192,786948f8-6b4d-4ba9-ae33-71b45d333082,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd444.pdf
2891,4,442,442,Bob Marshall Wilderness Complex,Variable,190644,771.50824493,297.88099874,Coming Soon,Coming Soon,1706692478.52344,244903.986061873,4ff01d12-b884-4c74-8eb7-f1c672c74c88,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd442.pdf
2892,1,100,100,Purcell,Variable,900622,3644.68674465,1407.2214195,Coming Soon,Coming Soon,8370929933.79688,450844.855506157,ff15d296-1684-4dd5-9e18-e9917485bd7f,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd100.pdf
2893,2,293,293,Granite Butte,Variable,284423,1151.01826166,444.41063541,Coming Soon,Coming Soon,2457818152.42969,358670.11822081,b024b34d-1523-45f5-a321-30d81e22b661,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd293.pdf
2894,5,502,502,Mid-Yellowstone,Variable,469333,1899.32471855,733.3333737,Coming Soon,Coming Soon,3858710074.53516,368872.899854465,44d9e5e2-9c98-4502-a2db-02c58501aa78,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd502.pdf
2895,3,319,319,Fleecer,Variable,396943,1606.37264524,620.22394583,Coming Soon,Coming Soon,3322609437.83594,327490.376492716,2548ff43-b4cf-4570-a7be-83701b34090c,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd319.pdf
2896,3,361,361,Gallatin/Madison,Variable,143660,581.37162201,224.4688382,Coming Soon,Coming Soon,1150999976.24219,223484.132320656,ec09ada5-def7-4d9e-9063-e2feb9495beb,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd361.pdf
2897,3,339,339,Granite Butte,Variable,188147,761.40406399,293.97975267,Coming Soon,Coming Soon,1630254508.58594,246175.369767612,3424e2bd-a3d2-4357-9687-df2e0a907dd7,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd339.pdf
2898,4,445,445,Devil's Kitchen,Variable,444905,1800.46859531,695.16481113,Coming Soon,Coming Soon,3890319240.21094,378030.815003732,e14a45c0-afe4-41fc-848a-0d7c7553da20,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd445.pdf
2899,4,412,412,Snowy,Variable,422664,1710.46035217,660.41243416,Coming Soon,Coming Soon,3707049176.82813,348578.623054005,92a4fa94-18d1-412e-bf18-7de3dc90ced0,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd412.pdf
2900,3,311,311,Gallatin/Madison,Variable,339330,1373.21862965,530.20267713,Coming Soon,Coming Soon,2823678753.71875,236921.867572257,91ceab93-78bb-401b-97ba-ebc460ff0672,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd311.pdf
2901,3,380,380,Elkhorn,Variable,668201,2704.11260926,1044.06371551,Coming Soon,Coming Soon,5662320683.85156,428080.119318922,2815e650-65b2-4439-a16b-a0d75288a7b2,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd380.pdf
2902,3,313,313,Northern Yellowstone,Variable,161134,652.08642858,251.77197766,Coming Soon,Coming Soon,1310600068.625,208726.932837205,1ef2f509-ebe6-4055-855a-15426be3e65a,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd313.pdf
2903,3,322,322,Gravelly,Variable,1944845,7870.50890688,3038.82047817,Coming Soon,Coming Soon,15711395680.9375,605753.462620205,885a066f-17b6-4d5f-a0b5-ba5750b185be,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd322.pdf
2904,4,418,418,Little Belts,Variable,307248,1243.38832803,480.07491742,Coming Soon,Coming Soon,2662355697.33594,255699.485094221,3f8ee051-3e19-414c-9870-ac6e6c19fe83,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd418.pdf
2905,4,411,411,Snowy,Variable,754853,3054.78158037,1179.45776221,Coming Soon,Coming Soon,6551703338.50781,475815.47325478,1a8dc05c-a21b-471c-a05d-8292bffd25f9,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd411.pdf
2906,2,284,284,Granite Butte,Variable,10901,44.11389661,17.03247071,Coming Soon,Coming Soon,94742554.296875,60502.4951786628,79ca36e1-29d1-4a13-a1e4-45d9c66c3368,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd284.pdf
2907,6,670,670,Hi-Line,Variable,2638440,10677.38947005,4122.56312252,Coming Soon,Coming Soon,24478054417.3516,925512.983550908,f2560b60-c88a-41ea-96e1-76da0bab4071,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd670.pdf
2908,2,215,215,Deer Lodge,Variable,370344,1498.72833195,578.66224411,Coming Soon,Coming Soon,3144337815.97656,339268.960896608,72c5856f-c634-45d3-8b56-b95e7ac0018f,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd215.pdf
2909,1,124,124,Lower Clark Fork,Variable,83755,338.94539473,130.86754855,Coming Soon,Coming Soon,741582291.492188,170974.753166744,385fbd2b-feb2-40a4-8a8b-6b75e764a82b,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd124.pdf
2910,5,580,580,Crazy Mountain,Variable,721468,2919.67726132,1127.29369299,Coming Soon,Coming Soon,6095791913.95313,467455.573854194,9fd71338-6165-42ad-8f12-715073d7241b,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd580.pdf
2911,6,620,620,Missouri Rivers Breaks,Variable,1120612,4534.9569151,1750.95665405,Coming Soon,Coming Soon,10184798074.2344,489078.427794533,c231a080-cab4-49ca-a55c-b1d6c8ee0915,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd620.pdf
2912,1,101,101,Salish,Variable,515732,2087.09232242,805.83085087,Coming Soon,Coming Soon,4797360444.14063,385523.885595279,f0971e2d-7e62-4265-b71e-ca259f3097f7,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd101.pdf
2913,4,450,450,Teton River,Variable,260385,1053.7417124,406.85194976,Coming Soon,Coming Soon,2331658087.73438,217081.068180422,a60f0aec-7786-4e91-9035-9153cdda101f,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd450.pdf
2914,2,216,216,Rock Creek,Variable,189603,767.29745307,296.25520291,Coming Soon,Coming Soon,1614954067.58594,214735.03322803,26087491-409b-4b9d-90f7-0dee0d0ce3c9,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd216.pdf
2915,3,314,314,Gallatin/Madison,Variable,309175,1251.18675093,483.08590534,Coming Soon,Coming Soon,2538206742.4375,317302.910679956,aa6c2c1b-ae74-47cd-bc92-fa8011a2a07d,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd314.pdf
